From	Entry	Transmembrane	Transit peptide
Q42885	Q42885		TRANSIT 1..48; /note="Chloroplast"; /evidence="ECO:0000255"
Q8BSF4	Q8BSF4	TRANSMEM 61..79; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_03208"	TRANSIT 1..49; /note="Mitochondrion"; /evidence="ECO:0000255|HAMAP-Rule:MF_03208"
Q6QD73	Q6QD73		
O60016	O60016		
O88843	O88843		
Q8BGS1	Q8BGS1		
P47988	P47988		
P07195	P07195		
Q9UNA4	Q9UNA4		
Q7SG49	Q7SG49		
Q8CGA3	Q8CGA3	TRANSMEM 20..40; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 90..110; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 120..140; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 143..163; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 177..197; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 207..227; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 319..341; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 365..385; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 434..454; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 461..481; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 489..509; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 515..535; /note="Helical"; /evidence="ECO:0000255"	
P22893	P22893		
Q9URW7	Q9URW7		
Q9UUB5	Q9UUB5		
F4J264	F4J264		TRANSIT 1..?; /note="Chloroplast"; /evidence="ECO:0000305"
Q06214	Q06214		
G5EEV2	G5EEV2		
Q00194	Q00194	TRANSMEM 163..183; /note="Helical; Name=S1"; /evidence="ECO:0000305|PubMed:25963832"; TRANSMEM 197..215; /note="Helical; Name=S2"; /evidence="ECO:0000305|PubMed:25963832"; TRANSMEM 238..257; /note="Helical; Name=S3"; /evidence="ECO:0000305|PubMed:25963832"; TRANSMEM 265..286; /note="Helical; Name=S4"; /evidence="ECO:0000305|PubMed:25963832"; TRANSMEM 298..324; /note="Helical; Name=S5"; /evidence="ECO:0000305|PubMed:25963832"; TRANSMEM 368..399; /note="Helical; Name=S6"; /evidence="ECO:0000305|PubMed:25963832"	
Q07914	Q07914	TRANSMEM 66..83; /note="Helical"; /evidence="ECO:0000255"	
Q7M3M8	Q7M3M8		
Q3U8K7	Q3U8K7		
Q9C5Z3	Q9C5Z3		
O14196	O14196		
Q9LSQ3	Q9LSQ3		
P22194	P22194		
Q9LY23	Q9LY23		
Q9M9V6	Q9M9V6		TRANSIT 1..55; /note="Chloroplast"; /evidence="ECO:0000255"
Q94126	Q94126		
Q2WGF1	Q2WGF1		
Q96RL1	Q96RL1		
P85088	P85088		
O74511	O74511		
Q9TLX4	Q9TLX4		
P03902	P03902	TRANSMEM 1..21; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 29..49; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 61..81; /note="Helical"; /evidence="ECO:0000255"	
Q28602	Q28602	TRANSMEM <1..6; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 25..45; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 82..102; /note="Helical"; /evidence="ECO:0000255"	
Q9HD15	Q9HD15		
Q16514	Q16514		
O74416	O74416		
Q10220	Q10220		
Q08970	Q08970	TRANSMEM 132..152; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 158..178; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 209..229; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 256..276; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 316..336; /note="Helical"; /evidence="ECO:0000255"	TRANSIT 1..56; /note="Mitochondrion"; /evidence="ECO:0000255"
Q9H3F6	Q9H3F6		
Q1K528	Q1K528	TRANSMEM 53..75; /note="Helical"; /evidence="ECO:0000269|PubMed:31316820"	TRANSIT 1..31; /note="Mitochondrion"; /evidence="ECO:0000255"
O13713	O13713		
O88554	O88554		
Q9UTG1	Q9UTG1		
Q9C9U5	Q9C9U5		
Q12072	Q12072		
P68353	P68353		
Q09242	Q09242		
Q96CX2	Q96CX2		
Q9W3U1	Q9W3U1		
O82645	O82645		
Q9H0W9	Q9H0W9		
P15720	P15720		
Q7Z6K1	Q7Z6K1		
Q96RE7	Q96RE7		
P02898	P02898		
Q80VL1	Q80VL1		
Q9LZW2	Q9LZW2		
O15524	O15524		
Q8H1D9	Q8H1D9		
Q9SW33	Q9SW33		TRANSIT 1..?; /note="Chloroplast"; /evidence="ECO:0000255"; TRANSIT ?..63; /note="Thylakoid"; /evidence="ECO:0000269|PubMed:11719511"
Q9Y6W3	Q9Y6W3		
Q9DAM1	Q9DAM1		
Q01902	Q01902		
Q8S9K3	Q8S9K3		TRANSIT 1..?; /note="Chloroplast"; /evidence="ECO:0000255"
Q9W1V7	Q9W1V7		
Q5TKA1	Q5TKA1		
Q66HP6	Q66HP6		
Q5T3J3	Q5T3J3		
P00560	P00560		
Q9H5U6	Q9H5U6		
Q86TP1	Q86TP1		
P90783	P90783		
P83510	P83510		
P22148	P22148		
A0T0D6	A0T0D6		
O74964	O74964		
Q09330	Q09330		
Q336R9	Q336R9		TRANSIT 1..75; /note="Chloroplast"; /evidence="ECO:0000255"
Q9R0A0	Q9R0A0	TRANSMEM 109..127; /note="Helical"; /evidence="ECO:0000255"	
Q5KMX8	Q5KMX8		
Q9NZC4	Q9NZC4		
Q960V3	Q960V3		
Q29006	Q29006	TRANSMEM 16..36; /note="Helical; Name=4"; /evidence="ECO:0000250"; TRANSMEM 71..91; /note="Helical; Name=5"; /evidence="ECO:0000250"	
Q04847	Q04847		
Q9M9F0	Q9M9F0		
Q9C7A2	Q9C7A2	TRANSMEM 422..442; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 460..480; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 500..520; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 531..551; /note="Helical"; /evidence="ECO:0000255"	
P42842	P42842		
Q9DBA9	Q9DBA9		
G5EEG9	G5EEG9		
Q6NPS8	Q6NPS8		
Q9P7N6	Q9P7N6		TRANSIT 1..20; /note="Mitochondrion"; /evidence="ECO:0000255"
Q9VL14	Q9VL14		
Q8VCF0	Q8VCF0	TRANSMEM 479..496; /note="Helical"; /evidence="ECO:0000255"	
Q9P3U7	Q9P3U7	TRANSMEM 87..107; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 113..133; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 145..165; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 180..200; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 305..325; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 329..349; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 364..384; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 405..425; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 433..453; /note="Helical"; /evidence="ECO:0000255"	TRANSIT 1..21; /note="Mitochondrion"; /evidence="ECO:0000255"
Q6ID70	Q6ID70		
Q8IUH3	Q8IUH3		
Q9Y7Z7	Q9Y7Z7		TRANSIT 1..59; /note="Mitochondrion"; /evidence="ECO:0000255"
Q03071	Q03071		
Q9SYD8	Q9SYD8		
Q3UUF8	Q3UUF8		
P31326	P31326		TRANSIT 1..30; /note="Mitochondrion"; /evidence="ECO:0000250"
Q9HBE1	Q9HBE1		
Q23885	Q23885		
O74752	O74752		
P39749	P39749		
Q7Z7A4	Q7Z7A4		
Q8IW03	Q8IW03		
Q9CQT2	Q9CQT2		
P0C304	P0C304		
Q8NF50	Q8NF50		
Q9NQ31	Q9NQ31		
Q9LT27	Q9LT27		TRANSIT 1..32; /note="Chloroplast"; /evidence="ECO:0000255"
Q9Y7M8	Q9Y7M8		
Q00312	Q00312		
Q13686	Q13686		
Q6RFZ7	Q6RFZ7		
P70460	P70460		
Q96GM8	Q96GM8		
Q9UTG3	Q9UTG3		
A0T0S6	A0T0S6	TRANSMEM 19..37; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_00396"	
Q9USM9	Q9USM9		
Q08062	Q08062		
Q09668	Q09668		
Q9UJX4	Q9UJX4		
P31179	P31179		
P55209	P55209		
Q17569	Q17569		
Q13342	Q13342		
P41779	P41779		
Q8CEG8	Q8CEG8		
Q18240	Q18240		
P53102	P53102		
Q6NL34	Q6NL34		
Q6NPM8	Q6NPM8		TRANSIT 1..61; /note="Chloroplast"; /evidence="ECO:0000255"
P40035	P40035	TRANSMEM 22..42; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 70..89; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 108..128; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 171..192; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 211..231; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 260..280; /note="Helical; Name=6"; /evidence="ECO:0000255"	
Q9WVJ4	Q9WVJ4	TRANSMEM 118..138; /note="Helical"; /evidence="ECO:0000255"	
O78424	O78424		
P31942	P31942		
Q9NTM9	Q9NTM9		
F4KH86	F4KH86		
O94365	O94365		
Q05779	Q05779		TRANSIT 1..?; /note="Mitochondrion"; /evidence="ECO:0000255"
P12853	P12853		TRANSIT 1..52; /note="Chloroplast"
O00154	O00154		
Q9LSQ5	Q9LSQ5		
Q9H190	Q9H190		
P19735	P19735		
Q9SHH0	Q9SHH0	TRANSMEM 86..106; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 115..135; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 161..181; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 210..230; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 239..259; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 267..287; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 311..331; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 360..380; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 408..428; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 430..450; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 466..486; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 494..514; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 523..543; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 554..574; /note="Helical"; /evidence="ECO:0000255"	
O43290	O43290		
Q9FZ96	Q9FZ96	TRANSMEM 4..24; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 35..55; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 78..98; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 114..134; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 138..158; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 174..194; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 213..233; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 256..276; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 282..302; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 311..331; /note="Helical"; /evidence="ECO:0000255"	
A2CI98	A2CI98		
O74545	O74545		
P53769	P53769		
Q9P6S5	Q9P6S5		
Q8MUF9	Q8MUF9		
Q9LP07	Q9LP07		
Q6GQQ9	Q6GQQ9		
Q91W39	Q91W39		
P47910	P47910		TRANSIT 1..54; /note="Chloroplast"; /evidence="ECO:0000269|PubMed:10874039, ECO:0000269|PubMed:8490565"
O94733	O94733		
P14808	P14808		
Q9SMS0	Q9SMS0	TRANSMEM 224..244; /note="Helical"; /evidence="ECO:0000255"	TRANSIT 1..45; /note="Chloroplast"; /evidence="ECO:0000305"
Q8R4U1	Q8R4U1		
Q9FXH5	Q9FXH5	TRANSMEM 46..66; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 90..110; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 133..153; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 161..181; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 189..209; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 225..245; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 268..288; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 308..328; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 339..359; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 363..383; /note="Helical"; /evidence="ECO:0000255"	
Q3E7A3	Q3E7A3	TRANSMEM 8..30; /note="Helical"; /evidence="ECO:0000255"	
O13855	O13855		
M0RCI4	M0RCI4	TRANSMEM 13..33; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 53..73; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 80..100; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 102..122; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 137..157; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 164..184; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 303..323; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 341..361; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 370..390; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 396..416; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 431..451; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 460..480; /note="Helical"; /evidence="ECO:0000255"	
Q0ZCJ7	Q0ZCJ7		
Q56Y52	Q56Y52		
Q3KP66	Q3KP66		
Q9UT04	Q9UT04		
Q8CCE9	Q8CCE9		
Q8RWX4	Q8RWX4	TRANSMEM 556..572; /note="Helical"; /evidence="ECO:0000255"	
Q9SAL0	Q9SAL0		
O94478	O94478		
Q95XQ1	Q95XQ1		
Q38885	Q38885	TRANSMEM 142..162; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 192..212; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 241..261; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 268..288; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 295..315; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 328..348; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 382..402; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 415..435; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 482..502; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 503..523; /note="Helical"; /evidence="ECO:0000255"	TRANSIT 1..67; /note="Chloroplast"; /evidence="ECO:0000255"
Q9NWT1	Q9NWT1		
Q70EL2	Q70EL2		
Q9BV90	Q9BV90		
O77512	O77512		
Q31721	Q31721	TRANSMEM 11..31; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 35..55; /note="Helical"; /evidence="ECO:0000255"	
O59719	O59719		
Q76LB1	Q76LB1	TRANSMEM 53..73; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 74..94; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 109..129; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 138..158; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 161..181; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 200..220; /note="Helical"; /evidence="ECO:0000255"	
Q9HGQ0	Q9HGQ0		
Q84TH9	Q84TH9		
P22035	P22035		
O61707	O61707		
Q03338	Q03338		
Q04922	Q04922		
Q6RH25	Q6RH25		
Q06623	Q06623		
P52923	P52923	TRANSMEM 7..25; /note="Helical"; /evidence="ECO:0000255"	
Q969Z0	Q969Z0		TRANSIT 1..107; /note="Mitochondrion"; /evidence="ECO:0000255"
P84562	P84562		
P34447	P34447		
P28004	P28004		
Q8R2H7	Q8R2H7		
P53150	P53150		
O21264	O21264		
Q12089	Q12089		
Q9FL44	Q9FL44	TRANSMEM 127..147; /note="Helical"; /evidence="ECO:0000255"	
O13598	O13598		
Q7TNS8	Q7TNS8		
Q9BSV6	Q9BSV6		
P48324	P48324		
Q6UW78	Q6UW78	TRANSMEM 8..28; /note="Helical"; /evidence="ECO:0000255"	
O81851	O81851		
Q9WUF3	Q9WUF3		
A2ANU3	A2ANU3	TRANSMEM 182..202; /note="Helical"; /evidence="ECO:0000255"	
P31336	P31336		TRANSIT 1..77; /note="Chloroplast"
P40121	P40121		
Q9P7G0	Q9P7G0		
Q8R010	Q8R010		
P26868	P26868		
P50091	P50091		
Q9ULU4	Q9ULU4		
Q9QX75	Q9QX75	TRANSMEM 48..68; /note="Helical"; /evidence="ECO:0000255"	
Q8T0D4	Q8T0D4		
P78586	P78586		TRANSIT 1..?; /note="Mitochondrion"; /evidence="ECO:0000255"
Q09726	Q09726		TRANSIT 1..28; /note="Mitochondrion"; /evidence="ECO:0000255"
O95900	O95900		TRANSIT 1..10; /note="Mitochondrion"; /evidence="ECO:0000255"
Q08213	Q08213		TRANSIT 1..23; /note="Mitochondrion"; /evidence="ECO:0000255"
P39679	P39679		
Q8IZ08	Q8IZ08	TRANSMEM 13..33; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 38..58; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 82..102; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 126..146; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 165..185; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 227..247; /note="Helical; Name=6"; /evidence="ECO:0000255"; TRANSMEM 263..283; /note="Helical; Name=7"; /evidence="ECO:0000255"	
P80087	P80087		
Q8N3V7	Q8N3V7		
P48938	P48938		
Q9D495	Q9D495		
O13702	O13702		
O14519	O14519		
Q10210	Q10210		
Q8WZK3	Q8WZK3		
P33240	P33240		
Q8WXF8	Q8WXF8		
Q9H4Q4	Q9H4Q4		
Q5H9F3	Q5H9F3		
P68356	P68356		
Q9FXA3	Q9FXA3		
Q12972	Q12972		
Q12343	Q12343		
Q5T440	Q5T440		TRANSIT 1..39; /note="Mitochondrion"; /evidence="ECO:0000255"
P41223	P41223		
O82258	O82258		TRANSIT 1..59; /note="Chloroplast"; /evidence="ECO:0000255"
Q961D9	Q961D9		
Q24472	Q24472		
Q80WE1	Q80WE1		
Q01842	Q01842		
Q54EQ8	Q54EQ8		
O95782	O95782		
O75943	O75943		
P0C870	P0C870		
P41695	P41695		
O94829	O94829		
H2L006	H2L006	TRANSMEM 57..77; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 97..117; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 131..151; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 286..306; /note="Helical"; /evidence="ECO:0000255"	
Q9LF79	Q9LF79	TRANSMEM 181..201; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 220..240; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 370..389; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 427..444; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 841..859; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 871..891; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 912..934; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 950..971; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 990..1011; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 1022..1043; /note="Helical"; /evidence="ECO:0000255"	
P93009	P93009		TRANSIT 1..70; /note="Chloroplast"; /evidence="ECO:0000255"
Q9C0C6	Q9C0C6		
P98078	P98078		
Q14678	Q14678		
Q8BZ00	Q8BZ00	TRANSMEM 21..41; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 46..66; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 127..147; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 165..185; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 204..224; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 236..256; /note="Helical; Name=6"; /evidence="ECO:0000255"; TRANSMEM 278..298; /note="Helical; Name=7"; /evidence="ECO:0000255"; TRANSMEM 310..327; /note="Helical; Name=8"; /evidence="ECO:0000255"; TRANSMEM 334..350; /note="Helical; Name=9"; /evidence="ECO:0000255"; TRANSMEM 365..385; /note="Helical; Name=10"; /evidence="ECO:0000255"; TRANSMEM 387..407; /note="Helical; Name=11"; /evidence="ECO:0000255"; TRANSMEM 430..450; /note="Helical; Name=12"; /evidence="ECO:0000255"; TRANSMEM 466..486; /note="Helical; Name=13"; /evidence="ECO:0000255"	
Q91WV7	Q91WV7	TRANSMEM 89..109; /note="Helical; Signal-anchor for type II membrane protein"; /evidence="ECO:0000255"	
Q99990	Q99990		
Q9JKD9	Q9JKD9		
Q12238	Q12238		
P33203	P33203		
P70662	P70662		
Q6L612	Q6L612		
O14207	O14207		
P16965	P16965		
P40502	P40502	TRANSMEM 31..48; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 80..96; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 103..119; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 131..147; /note="Helical"; /evidence="ECO:0000255"	
Q9QZN9	Q9QZN9	TRANSMEM 34..59; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 72..92; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 105..129; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 150..172; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 189..214; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 247..267; /note="Helical; Name=6"; /evidence="ECO:0000255"; TRANSMEM 280..301; /note="Helical; Name=7"; /evidence="ECO:0000255"	
P30561	P30561		
Q07362	Q07362		
Q5VY09	Q5VY09		
O44498	O44498		
P61604	P61604		
P50402	P50402	TRANSMEM 223..243; /note="Helical"; /evidence="ECO:0000255"	
Q80YF9	Q80YF9		
Q708Y0	Q708Y0		
Q9H0F5	Q9H0F5		
Q8I1X7	Q8I1X7		
Q9P7T4	Q9P7T4		
P02900	P02900		
Q24478	Q24478		
P30038	P30038		TRANSIT 1..24; /note="Mitochondrion"; /evidence="ECO:0000269|PubMed:1286669"
A6NFQ2	A6NFQ2		
P50479	P50479		
P23511	P23511		
Q92917	Q92917		
O43012	O43012		
P03872	P03872		
Q69Z66	Q69Z66		
P38937	P38937		
O82286	O82286		
Q9SKT1	Q9SKT1		
Q5SSJ5	Q5SSJ5		
Q03067	Q03067		
Q10574	Q10574		
Q04116	Q04116		
O42636	O42636		TRANSIT 1..8; /note="Mitochondrion"
A0A061ACU2	A0A061ACU2	TRANSMEM 6..26; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 28..48; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 57..77; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 123..143; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 174..196; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 199..219; /note="Helical; Name=6"; /evidence="ECO:0000255"; TRANSMEM 240..260; /note="Helical; Name=7"; /evidence="ECO:0000255"; TRANSMEM 304..324; /note="Helical; Name=8"; /evidence="ECO:0000255"; TRANSMEM 455..475; /note="Helical; Name=9"; /evidence="ECO:0000255"; TRANSMEM 479..499; /note="Helical; Name=10"; /evidence="ECO:0000255"; TRANSMEM 507..527; /note="Helical; Name=11"; /evidence="ECO:0000255"; TRANSMEM 553..573; /note="Helical; Name=12"; /evidence="ECO:0000255"; TRANSMEM 634..654; /note="Helical; Name=13"; /evidence="ECO:0000255"; TRANSMEM 657..677; /note="Helical; Name=14"; /evidence="ECO:0000255"; TRANSMEM 684..704; /note="Helical; Name=15"; /evidence="ECO:0000255"; TRANSMEM 740..760; /note="Helical; Name=16"; /evidence="ECO:0000255"; TRANSMEM 833..853; /note="Helical; Name=17"; /evidence="ECO:0000255"; TRANSMEM 875..895; /note="Helical; Name=18"; /evidence="ECO:0000255"; TRANSMEM 932..952; /note="Helical; Name=19"; /evidence="ECO:0000255"; TRANSMEM 991..1011; /note="Helical; Name=20"; /evidence="ECO:0000255"; TRANSMEM 1013..1033; /note="Helical; Name=21"; /evidence="ECO:0000255"; TRANSMEM 1042..1062; /note="Helical; Name=22"; /evidence="ECO:0000255"; TRANSMEM 1097..1117; /note="Helical; Name=23"; /evidence="ECO:0000255"; TRANSMEM 1161..1181; /note="Helical; Name=24"; /evidence="ECO:0000255"; TRANSMEM 1188..1210; /note="Helical; Name=25"; /evidence="ECO:0000255"; TRANSMEM 1232..1252; /note="Helical; Name=26"; /evidence="ECO:0000255"; TRANSMEM 1300..1320; /note="Helical; Name=27"; /evidence="ECO:0000255"; TRANSMEM 1616..1636; /note="Helical; Name=28"; /evidence="ECO:0000255"; TRANSMEM 1655..1675; /note="Helical; Name=29"; /evidence="ECO:0000255"; TRANSMEM 1707..1727; /note="Helical; Name=30"; /evidence="ECO:0000255"; TRANSMEM 1834..1854; /note="Helical; Name=31"; /evidence="ECO:0000255"; TRANSMEM 1867..1887; /note="Helical; Name=32"; /evidence="ECO:0000255"; TRANSMEM 1901..1921; /note="Helical; Name=33"; /evidence="ECO:0000255"; TRANSMEM 1931..1951; /note="Helical; Name=34"; /evidence="ECO:0000255"; TRANSMEM 2047..2067; /note="Helical; Name=35"; /evidence="ECO:0000255"; TRANSMEM 2347..2367; /note="Helical; Name=36"; /evidence="ECO:0000255"	
A0A0B5LB55	A0A0B5LB55		
O74450	O74450		
P17568	P17568		
Q9UTE3	Q9UTE3		
O74547	O74547		
P27205	P27205		
P80503	P80503		
O74824	O74824		
Q8RWL4	Q8RWL4		
O43088	O43088		
P06013	P06013		
Q9V3H8	Q9V3H8		
Q02525	Q02525		
O94533	O94533		
P53725	P53725		
O74739	O74739		
G8B839	G8B839		TRANSIT 1..23; /note="Mitochondrion"; /evidence="ECO:0000255"
P31165	P31165		TRANSIT <1..65; /note="Chloroplast"; /evidence="ECO:0000255"
P49906	P49906		
G5EGK6	G5EGK6		
Q9LU39	Q9LU39		TRANSIT 1..42; /note="Chloroplast"; /evidence="ECO:0000305"
O59746	O59746		
Q10KL8	Q10KL8		
Q9FWR4	Q9FWR4		
O94461	O94461		
Q8TBE7	Q8TBE7	TRANSMEM 105..125; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 131..151; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 169..189; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 194..214; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 218..238; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 255..275; /note="Helical; Name=6"; /evidence="ECO:0000255"; TRANSMEM 286..306; /note="Helical; Name=7"; /evidence="ECO:0000255"; TRANSMEM 319..339; /note="Helical; Name=8"; /evidence="ECO:0000255"; TRANSMEM 346..366; /note="Helical; Name=9"; /evidence="ECO:0000255"; TRANSMEM 368..388; /note="Helical; Name=10"; /evidence="ECO:0000255"	
Q8R4N0	Q8R4N0		TRANSIT 1..20; /note="Mitochondrion"; /evidence="ECO:0000255"
Q9C642	Q9C642		TRANSIT 1..48; /note="Chloroplast"; /evidence="ECO:0000255"
Q9P0R6	Q9P0R6		
Q9UTN0	Q9UTN0		
Q8VYI3	Q8VYI3		
Q01663	Q01663		
Q9SNB6	Q9SNB6		
P07248	P07248		
Q00994	Q00994		
Q969X6	Q969X6		
P22136	P22136		TRANSIT 1..40; /note="Mitochondrion"; /evidence="ECO:0000255"
P19538	P19538		
O14981	O14981		
